date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:28	10145/10145	---M-Z	200	added ('OK')	text/html	etag:W/%2264fa3024-27a1%22	https://audiomotion.dev/demo/multi.html	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/multi.html	(from )
10:50:38	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-24a3%22	https://audiomotion.dev/robots.txt		(from )
10:50:40	5987/5987	---M-Z	200	added ('OK')	text/css	etag:W/%2264fa3024-1763%22	https://audiomotion.dev/demo/styles.css	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/styles.css	(from https://audiomotion.dev/demo/multi.html)
10:50:44	3395/3395	---M-Z	200	added ('OK')	text/html	etag:W/%2264fa3024-d43%22	https://audiomotion.dev/demo/index.html	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/index.html	(from https://audiomotion.dev/demo/multi.html)
10:50:45	5138/5138	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fa3024-1412%22	https://audiomotion.dev/demo/multi.js	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/multi.js	(from https://audiomotion.dev/demo/multi.html)
10:50:51	132579/132579	---MCZ	200	added ('OK')	text/html	etag:W/%22e24c007e674540c5c842c513d458fef4%22	https://github.com/hvianna/audioMotion-analyzer/blob/master/demo/multi.js	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/github.com/hvianna/audioMotion-analyzer/blob/master/demo/multi.html	(from https://audiomotion.dev/demo/multi.html)
10:50:58	66908/66908	---M--	200	added ('OK')	image/png	etag:%2264fa3024-1055c%22	https://audiomotion.dev/demo/media/radial.png	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/media/radial.png	(from https://audiomotion.dev/demo/index.html)
10:51:04	20524/20524	---M--	200	added ('OK')	image/png	etag:%2264fa3024-502c%22	https://audiomotion.dev/demo/media/leds.png	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/media/leds.png	(from https://audiomotion.dev/demo/index.html)
10:51:11	156808/156808	---M--	200	added ('OK')	image/png	etag:%2264fa3024-26488%22	https://audiomotion.dev/demo/media/discrete.png	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/media/discrete.png	(from https://audiomotion.dev/demo/index.html)
10:51:33	57590/57590	---M--	200	added ('OK')	image/png	etag:%2264fa3024-e0f6%22	https://audiomotion.dev/demo/media/reflex.png	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/media/reflex.png	(from https://audiomotion.dev/demo/index.html)
10:51:37	3831/3831	---M-Z	200	added ('OK')	text/html	etag:W/%2264fa3024-ef7%22	https://audiomotion.dev/demo/minimal.html	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/minimal.html	(from https://audiomotion.dev/demo/index.html)
10:51:38	14141/14141	---M-Z	200	added ('OK')	text/html	etag:W/%2264fa3024-373d%22	https://audiomotion.dev/demo/fluid.html	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/fluid.html	(from https://audiomotion.dev/demo/index.html)
10:51:39	9707/9707	---M-Z	200	added ('OK')	text/html	etag:W/%2264fa3024-25eb%22	https://audiomotion.dev/demo/overlay.html	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/audiomotion.dev/demo/overlay.html	(from https://audiomotion.dev/demo/index.html)
10:51:43	94397/94397	---M-Z	200	added ('OK')	text/css	etag:%224da722e789ca07a76d07dc7ea1da6764%22	https://github.githubassets.com/assets/light-a09cef873428.css	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/github.githubassets.com/assets/light-a09cef873428.css	(from https://github.com/hvianna/audioMotion-analyzer/blob/master/demo/multi.js)
10:51:44	56672/56672	---M-Z	200	added ('OK')	text/css	etag:%2219436877f89e60010b7bdc2997dd75f1%22	https://github.githubassets.com/assets/dark-5d486a4ede8e.css	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/github.githubassets.com/assets/dark-5d486a4ede8e.css	(from https://github.com/hvianna/audioMotion-analyzer/blob/master/demo/multi.js)
10:51:45	56762/56762	---M-Z	200	added ('OK')	text/css	etag:%22f8ff52f9f8e9321a3945e627f2bc7cdf%22	https://github.githubassets.com/assets/dark_dimmed-27c8d635e4e5.css	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/github.githubassets.com/assets/dark_dimmed-27c8d635e4e5.css	(from https://github.com/hvianna/audioMotion-analyzer/blob/master/demo/multi.js)
10:51:47	55679/55679	---M-Z	200	added ('OK')	text/css	etag:%22cda4d8532670b287b96628491661a512%22	https://github.githubassets.com/assets/dark_high_contrast-8438e75afd36.css	C:/My%20Web%20Sites/SkyNet%20Biometrics%202.0/github.githubassets.com/assets/dark_high_contrast-8438e75afd36.css	(from https://github.com/hvianna/audioMotion-analyzer/blob/master/demo/multi.js)
